TIMESTAMP,TIME,RAW,CURRENT
13:55:06 17/05/24,1715964906.8912702,0.0373,3.382219176557349
13:55:17 17/05/24,1715964917.9297144,0.0367,3.3216898057745867
13:55:28 17/05/24,1715964928.9661183,0.0373,3.382219176557349
13:55:40 17/05/24,1715964940.2047033,0.0371,3.362042678091034
13:55:51 17/05/24,1715964951.24167,0.0366,3.311601613657179
13:56:02 17/05/24,1715964962.906765,0.0363,3.281337099613047
13:56:13 17/05/24,1715964973.9431016,0.0368,3.3317780082766757
13:56:24 17/05/24,1715964984.9799821,0.036,3.251072679031051
13:56:36 17/05/24,1715964996.0151596,0.0359,3.2409845596064164
13:56:47 17/05/24,1715965007.052783,0.0357,3.2208083519111925
13:56:58 17/05/24,1715965018.089919,0.0352,3.1703680144050623
13:57:09 17/05/24,1715965029.1267507,0.0349,3.140103936517566
13:57:20 17/05/24,1715965040.163298,0.0348,3.1300159313244307
13:57:31 17/05/24,1715965051.1999454,0.0348,3.1300159313244307
13:57:42 17/05/24,1715965062.2364697,0.0348,3.1300159313244307
13:57:53 17/05/24,1715965073.2730486,0.0339,3.039224351896894
13:58:04 17/05/24,1715965084.309807,0.0342,3.069488118243937
13:58:15 17/05/24,1715965095.3471112,0.0336,3.0089606790119876
13:58:26 17/05/24,1715965106.3855252,0.0336,3.0089606790119876
13:58:37 17/05/24,1715965117.4230757,0.0332,2.968609260550991
13:58:49 17/05/24,1715965129.021562,0.0335,2.998872808819716
13:59:00 17/05/24,1715965140.0599084,0.0333,2.9786970995892177
13:59:11 17/05/24,1715965151.096783,0.0332,2.968609260550991
13:59:22 17/05/24,1715965162.133296,0.0329,2.9383458057444023
13:59:33 17/05/24,1715965173.1694245,0.0328,2.9282580082449035
13:59:44 17/05/24,1715965184.206427,0.0328,2.9282580082449035
13:59:55 17/05/24,1715965195.2432585,0.0327,2.9181702211300857
14:00:06 17/05/24,1715965206.281661,0.0326,2.9080824443999496
14:00:17 17/05/24,1715965217.3186042,0.0324,2.8879069220937232
